start_station_name,start_lat,start_lng,starts_2013,starts_2018,starts_2023,end_station_name,end_lat,end_lng,ends_2013,ends_2018,ends_2023
1 Ave & E 110 St,40.792199273406275,-73.93838139548537,,1215.0,2710.0,1 Ave & E 110 St,40.79232719977737,-73.9383,,1245.0,2695
1 Ave & E 16 St,40.73226498393397,-73.98163032059051,,6566.0,5528.0,1 Ave & E 16 St,40.732218530084346,-73.98165557007718,,6965.0,5572
1 Ave & E 18 St,40.73385119643645,-73.98053925295564,2571.0,5203.0,6936.0,1 Ave & E 18 St,40.73381219185647,-73.98054420936042,2531.0,5247.0,6990
1 Ave & E 30 St,40.74148669708332,-73.97536139014959,2906.0,4262.0,4593.0,1 Ave & E 30 St,40.741443870084545,-73.97536082011706,2950.0,4282.0,4613
1 Ave & E 39 St,40.74721722300407,-73.97112751610162,,,6226.0,1 Ave & E 39 St,40.74714,-73.97113,,,6286
1 Ave & E 44 St,40.74986671654952,-73.96918355105133,2229.0,3462.0,2942.0,1 Ave & E 44 St,40.75001986018667,-73.96905300998667,2277.0,3479.0,3000
1 Ave & E 6 St,40.72633094311519,-73.98613816136655,,,6008.0,1 Ave & E 6 St,40.726330859833745,-73.98616880194953,,,6006
1 Ave & E 62 St,40.76107111767821,-73.9610359350634,,4495.0,7590.0,1 Ave & E 62 St,40.761227399476375,-73.960940219712,,4489.0,7639
1 Ave & E 68 St,40.76486343730032,-73.95827901042676,,6083.0,10400.0,1 Ave & E 68 St,40.76500524995196,-73.9581849100173,,6110.0,10409
1 Ave & E 94 St,40.781631886195306,-73.94598658998542,,1707.0,1647.0,1 Ave & E 94 St,40.78172119975787,-73.94594,,1812.0,1652
1 Pl & Clinton St,40.681505296362154,-73.99882456823033,,1035.0,1573.0,1 Pl & Clinton St,40.6809591,-73.99905709,,1043.0,1605
1 St & 6 Ave,40.67321253379933,-73.97965477928437,,,1382.0,1 St & 6 Ave,40.672784,-73.979826,,,1376
10 Ave & W 14 St,40.74191094942134,-74.00804860042344,,,11048.0,10 Ave & W 14 St,40.741981605432876,-74.00831580434415,,,11071
10 Ave & W 202 St,40.859764419606535,-73.92222454146221,,,287.0,10 Ave & W 202 St,40.861281970750994,-73.921417593956,,,301
10 Ave & W 204 St,40.858946302041666,-73.92106671375481,,,208.0,10 Ave & W 204 St,40.862638,-73.92006,,,243
10 Ave & W 207 St,40.86376792566829,-73.91921168216992,,,410.0,10 Ave & W 207 St,40.86463200000001,-73.918598,,,417
10 Ave & W 215 St,40.86888151867315,-73.91555481212696,,,163.0,10 Ave & W 215 St,40.86932465640094,-73.91519755125046,,,173
10 Ave & W 28 St,40.750602693132485,-74.00162786898431,2874.0,,7835.0,10 Ave & W 28 St,40.75066386021396,-74.00176801996943,2857.0,,7852
10 St & 2 Ave,40.672211315917245,-73.99342904747344,,,866.0,10 St & 2 Ave,40.671907,-73.993612,,,871
10 St & 4 Ave,40.6700884598111,-73.9888239816528,,,1475.0,10 St & 4 Ave,40.66967356370341,-73.98898908183764,,,1517
10 St & 5 Ave,40.668855008209135,-73.98689757443137,,791.0,1401.0,10 St & 5 Ave,40.668627299571426,-73.98700053067142,,790.0,1400
10 St & 7 Ave,40.66690844861688,-73.98196054202282,,1050.0,2805.0,10 St & 7 Ave,40.66620780007179,-73.98199886005025,,1012.0,2786
